"site","codeG","codeE","nat","age","sexe","etb","fil_other","niv_etd","note_ADM","ADM_S_acceuil","ADM_P_acceuil","ADM_P_acceuil.A","ADM_P_acceuil.B","ADM_P_acceuil.C","ADM_P_acceuil.D","ADM_P_acceuil.E","ADM_P_acceuil.F","ADM_S_inscription","ADM_P_inscription","ADM_P_inscription.A","ADM_P_inscription.B","ADM_P_inscription.C","ADM_P_inscription.D","ADM_P_inscription.E","ADM_P_inscription.F","ADM_S_documents","ADM_P_documents","ADM_P_documents.A","ADM_P_documents.B","ADM_P_documents.C","ADM_P_documents.D","ADM_P_documents.E","ADM_P_documents.F","ADM_S_informations","ADM_P_informations","ADM_P_informations.A","ADM_P_informations.B","ADM_P_informations.C","ADM_P_informations.D","ADM_P_informations.E","ADM_P_informations.F","ADM_S_securite","ADM_P_securite","ADM_P_securite.A","ADM_P_securite.B","ADM_P_securite.C","ADM_P_securite.D","ADM_P_securite.E","ADM_P_securite.F","note_PED","PED_S_filieres","PED_P_filieres","PED_P_filieres.A","PED_P_filieres.B","PED_P_filieres.C","PED_P_filieres.D","PED_P_filieres.E","PED_P_filieres.F","PED_S_formation","PED_P_formation","PED_P_formation.A","PED_P_formation.B","PED_P_formation.C","PED_P_formation.D","PED_P_formation.E","PED_P_formation.F","PED_S_stages","PED_P_stages","PED_P_stages.A","PED_P_stages.B","PED_P_stages.C","PED_P_stages.D","PED_P_stages.E","PED_P_stages.F","PED_S_reclamations","PED_P_reclamations","PED_P_reclamations.A","PED_P_reclamations.B","PED_P_reclamations.C","PED_P_reclamations.D","PED_P_reclamations.E","PED_P_reclamations.F","PED_S_bibliotheque","PED_P_bibliotheque","PED_P_bibliotheque.A","PED_P_bibliotheque.B","PED_P_bibliotheque.C","PED_P_bibliotheque.D","PED_P_bibliotheque.E","PED_P_bibliotheque.F","note_PED_001","SOC_S_logement","SOC_P_logement","SOC_P_logement.A","SOC_P_logement.B","SOC_P_logement.C","SOC_P_logement.D","SOC_P_logement.E","SOC_P_logement.F","SOC_S_sante","SOC_P_sante","SOC_P_sante.A","SOC_P_sante.B","SOC_P_sante.C","SOC_P_sante.D","SOC_P_sante.E","SOC_P_sante.F","SOC_S_restau","SOC_P_restau","SOC_P_restau.A","SOC_P_restau.B","SOC_P_restau.C","SOC_P_restau.D","SOC_P_restau.E","SOC_P_restau.F","SOC_S_sportcult","SOC_P_sportcult","SOC_P_sportcult.A","SOC_P_sportcult.B","SOC_P_sportcult.C","SOC_P_sportcult.D","SOC_P_sportcult.E","SOC_P_sportcult.F","note_INF","INF_S_internet","INF_P_internet","INF_P_internet.A","INF_P_internet.B","INF_P_internet.C","INF_P_internet.D","INF_P_internet.E","INF_P_internet.F","INF_S_mobilier","INF_P_mobilier","INF_P_mobilier.A","INF_P_mobilier.B","INF_P_mobilier.C","INF_P_mobilier.D","INF_P_mobilier.E","INF_P_mobilier.F","INF_S_informatiq","INF_P_informatiq","INF_P_informatiq.A","INF_P_informatiq.B","INF_P_informatiq.C","INF_P_informatiq.D","INF_P_informatiq.E","INF_P_informatiq.F","INF_S_immobilier","INF_P_immobilier","INF_P_immobilier.A","INF_P_immobilier.B","INF_P_immobilier.C","INF_P_immobilier.D","INF_P_immobilier.E","INF_P_immobilier.F","commentaires","Conclusion","Nu_Terminal","DateAuto","hd","hf","X_id","X_uuid","X_submission_time","X_validation_status","X_notes","X_status","X_submitted_by","X__version__","X_tags"
3,"E",5,"0",24,"F","SVT",NA,"L",NA,4,"A B C D E F",1,1,1,1,1,1,4,"A B C D E F",1,1,1,1,1,1,4,"A B C D E F",1,1,1,1,1,1,4,"A B C D E F",1,1,1,1,1,1,4,"A B C D E",0,1,1,0,0,0,NA,4,"A B C D E F",1,1,1,1,0,1,4,"A B C D F E",1,1,1,0,1,1,8,"",NA,NA,NA,NA,0,0,1,"A B C E F",0,1,1,0,1,1,1,"A B",1,1,0,0,0,0,NA,1,"",NA,NA,0,NA,NA,NA,1,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,1,"A B C D E",1,1,1,1,1,0,NA,1,"A B F",1,1,0,0,0,1,3,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,1,"D E F",0,0,0,1,1,0,"Non",NA,NA,"","","",434300628,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"E",5,"0",22,"F","SVT",NA,"L",NA,2,"A B C D E",1,1,1,1,1,0,2,"B C D E F",0,1,1,1,1,1,2,"B",0,1,0,0,0,0,4,"E",0,0,0,0,1,0,4,"B",0,1,0,0,0,0,NA,2,"A B C",1,1,1,0,0,0,4,"A B C E F",1,1,1,0,1,1,2,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"C E F",0,0,1,0,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,2,"B D E",0,1,0,1,1,0,8,"",NA,0,0,NA,NA,0,2,"C D E",0,0,1,1,1,0,"Si on pouvait mettre à la disposition des étudiants une liste des devoirs pour l'année académique.",NA,NA,"","","",434300632,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"E",5,"0",24,"F","SVT",NA,"L",NA,4,"A B D",1,1,0,1,0,0,2,"",NA,NA,1,NA,NA,NA,4,"",NA,NA,NA,NA,NA,NA,4,"C D",0,0,1,1,0,0,2,"A B C",0,1,1,0,0,0,NA,2,"A B F",1,1,0,0,0,1,2,"A B C E F",1,1,1,0,1,1,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"C F",0,0,1,0,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,2,"D E F",0,0,0,1,1,1,2,"B",0,1,0,0,0,0,8,"",NA,0,0,NA,NA,0,2,"C D E",0,0,1,1,1,0,"Non",NA,NA,"","","",434300636,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"E",5,"0",22,"F","SVT",NA,"L",NA,4,"A B D E F",1,1,0,1,1,1,4,"A C D E F",1,0,1,1,1,1,4,"",NA,NA,NA,NA,NA,NA,2,"A B C D E F",1,1,1,1,1,1,4,"B C D E",0,1,1,0,0,0,NA,2,"A B C",1,1,1,0,0,0,4,"A D F",1,0,0,0,0,1,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,4,"A B C",1,1,1,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,4,"A",1,0,0,0,0,0,8,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,4,"B C D",0,1,1,1,0,0,8,"",NA,0,0,NA,NA,0,2,"A C F",1,0,1,0,0,0,"Non",NA,NA,"","","",434300642,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"E",5,"0",26,"F","SHLAM",NA,"L",NA,2,"A C F",1,0,1,0,0,1,4,"B C D E F",0,1,1,1,1,1,2,"A B D E F",1,1,0,1,1,1,4,"A B C D E F",1,1,1,1,1,1,2,"B C D",0,1,1,0,0,0,NA,2,"A F",1,0,0,0,0,1,2,"A B C F",1,1,1,0,0,1,8,"",NA,NA,NA,NA,0,0,2,"B D E",0,1,0,1,1,0,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,2,"D E F",0,0,0,1,1,1,2,"C",0,0,1,0,0,0,8,"",NA,0,0,NA,NA,0,2,"E",0,0,0,0,1,0,"",NA,NA,"","","",434300649,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"E",5,"0",25,"M","SJPEG",NA,"L",NA,3,"F",0,0,0,0,0,1,3,"B C D E F",0,1,1,1,1,1,4,"D E F",0,0,0,1,1,1,4,"C D E",0,0,1,1,1,0,2,"B E",0,1,0,0,0,0,NA,4,"",1,NA,NA,NA,0,NA,4,"A C D E",1,0,1,0,1,0,2,"C D",0,0,1,1,0,0,2,"B C D F",0,1,1,1,0,1,4,"A B C",1,1,1,0,0,0,NA,4,"A B D E F",1,1,0,1,1,1,8,"",NA,NA,NA,NA,NA,NA,2,"B F",0,1,0,0,1,1,4,"A B C D E F",1,1,1,1,1,1,NA,4,"A B D F",1,1,0,1,0,1,4,"A B C F",1,1,1,0,0,1,2,"C E",0,0,0,0,1,0,4,"B C D E F",0,1,1,1,1,0,"Non",NA,NA,"","","",434300659,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 20:29:21","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"E",5,"0",20,"M","SVT",NA,"L",NA,4,"A C D",1,0,1,1,0,0,4,"A B C F",1,1,1,0,0,1,4,"",NA,NA,NA,NA,NA,NA,4,"B C E",0,1,1,0,1,0,2,"B",0,1,0,0,0,0,NA,4,"A B C",1,1,1,0,0,0,4,"",1,NA,NA,0,NA,NA,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"B C E",0,1,1,0,1,0,8,"",NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,2,"A B C D E",1,1,1,1,1,0,8,"",NA,0,0,NA,NA,0,4,"B C D E",0,1,1,1,1,0,"Non",NA,NA,"","","",434300661,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 20:29:21","",NA,"submitted_via_web","bary_yashmina74","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",12,"0",23,"F","SJPEG",NA,"L",NA,4,"",NA,NA,NA,NA,NA,NA,4,"B C D E",0,1,1,1,1,0,3,"D F",0,0,0,1,0,1,3,"D",0,0,0,1,0,0,1,"B D",0,1,0,0,0,0,NA,2,"A",1,0,0,0,0,0,4,"",1,NA,NA,0,NA,NA,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,8,"",0,NA,NA,NA,1,NA,8,"",NA,NA,NA,NA,NA,NA,NA,1,"D E F",0,0,0,1,1,1,3,"A B C E F",1,1,1,0,1,1,8,"",NA,0,0,NA,NA,0,3,"A B E",1,1,0,0,1,0,"La sécurité est à revoir car le cas de vol de motos est exagéré en 3 mois il Ya perte de 2 motos et un vélo dans une  classe ",NA,NA,"","","",434311282,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","nafiguillogo","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",12,"0",21,"F","SHLAM",NA,"L",NA,3,"A B C E",1,1,1,0,1,0,4,"A B C D E F",1,1,1,1,1,1,4,"",NA,NA,NA,NA,NA,NA,5,"B E F",0,1,0,0,1,1,3,"B",0,1,0,0,0,0,NA,4,"A B",1,1,0,0,0,0,4,"A B C E F",1,1,1,0,1,1,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,4,"A B D F",1,1,0,1,0,1,8,"",NA,NA,NA,NA,NA,NA,4,"A B C D E F",0,1,1,1,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,4,"A B C D F",1,1,1,1,0,1,3,"C",0,0,1,0,0,0,2,"B E",0,0,0,0,1,0,2,"D E",0,0,0,1,1,0,"Les salles sont insuffisantes , les micros sont défectueux ce qui amène souvent les docteurs à ne pas faire cour et à rentrer. Ces problèmes sont très importants et à souligner ",NA,NA,"","","",434311286,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 21:32:39","",NA,"submitted_via_web","nafiguillogo","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",12,"0",21,"F","SJPEG",NA,"L",NA,2,"B C",0,1,1,0,0,0,3,"B C D F",0,1,1,1,0,1,4,"F C",0,0,1,0,0,1,3,"A C",1,0,1,0,0,0,2,"A B F",0,1,0,0,0,1,NA,4,"F C",1,0,1,0,0,1,4,"B F",1,1,0,0,0,1,4,"",NA,NA,NA,NA,0,0,2,"",0,NA,NA,NA,NA,NA,4,"F E B",0,1,0,0,1,1,NA,1,"B F",0,1,0,0,0,1,4,"",NA,NA,NA,NA,NA,NA,4,"B",0,1,0,0,1,0,5,"C E",0,0,1,0,1,0,NA,5,"C E",0,0,1,0,1,0,2,"D",0,0,0,1,0,0,2,"A C",1,0,0,0,0,0,5,"A",1,0,0,0,0,0,"Non",NA,NA,"","","",434311288,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 21:32:39","",NA,"submitted_via_web","nafiguillogo","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",12,"0",22,"M","SJPEG",NA,"L",NA,4,"A",1,0,0,0,0,0,5,"C",0,0,1,0,0,0,2,"C",0,0,1,0,0,0,4,"D",0,0,0,1,0,0,3,"B",0,1,0,0,0,0,NA,5,"A",1,0,0,0,0,0,4,"A",1,0,0,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,4,"E",0,0,0,0,1,0,4,"E",0,0,0,0,1,0,3,"C",0,0,1,0,0,0,NA,1,"E",0,0,0,0,1,0,3,"B D",0,1,0,1,0,0,8,"",NA,0,0,NA,NA,0,3,"E",0,0,0,0,1,0,"Du courage à vous 🙏",NA,NA,"","","",434311291,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 21:32:40","",NA,"submitted_via_web","nafiguillogo","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",12,"0",22,"M","SJPEG",NA,"L",NA,2,"",NA,NA,NA,NA,NA,NA,2,"F E D",0,0,1,1,1,1,2,"F E",0,0,0,0,1,1,2,"A B E",1,1,0,0,1,0,2,"B C",0,1,1,0,0,0,NA,2,"D E",1,0,0,1,0,0,2,"A E",1,0,0,0,1,0,3,"",NA,NA,NA,NA,0,0,2,"E",0,0,0,0,1,0,3,"E F",0,0,0,0,1,1,NA,3,"",NA,NA,0,NA,NA,NA,3,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,3,"",NA,NA,NA,NA,NA,NA,NA,2,"D E F",0,0,0,1,1,1,2,"",NA,NA,NA,NA,NA,NA,3,"",NA,0,0,NA,NA,0,2,"D E",0,0,0,1,1,0,"Non",NA,NA,"","","",434311296,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 21:32:40","",NA,"submitted_via_web","nafiguillogo","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",26,"M","SVT",NA,"M",NA,3,"A B",1,1,0,0,0,0,4,"A B C D E F",1,1,1,1,1,1,2,"E",0,0,0,0,1,0,3,"D E",0,0,0,1,1,0,2,"B C F",0,1,1,0,0,1,NA,3,"A D E",1,0,0,1,0,0,3,"A E",1,0,0,0,1,0,3,"A B",1,1,0,0,0,0,2,"D E F",0,0,0,1,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,2,"F",0,0,0,0,0,1,8,"",NA,NA,NA,NA,NA,NA,3,"B E",0,1,0,0,1,0,4,"A B C F",1,1,1,0,0,1,NA,3,"A B D E F",1,1,0,1,1,1,3,"E",0,0,0,0,1,0,2,"",NA,0,0,NA,NA,0,3,"",NA,NA,NA,NA,NA,0,"Mettre à la disposition des étudiants des bus, revoir la connexion, permet aux étudiants d’avoir des bourses lors de leurs stage",NA,NA,"","","",434429252,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",24,"M","SJPEG",NA,"L",NA,4,"",NA,NA,NA,NA,NA,NA,2,"D E F",0,0,1,1,1,1,1,"D",0,0,0,1,0,0,2,"D E",0,0,0,1,1,0,2,"B D",0,1,0,0,0,0,NA,4,"A B C D E F",1,1,1,1,0,1,5,"A B C E",1,1,1,0,1,0,2,"B D E F",0,1,0,1,0,0,2,"D E F",0,0,0,1,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,4,"A E F",1,0,0,0,1,1,8,"",0,NA,NA,NA,1,NA,4,"A B C",1,1,1,0,0,0,NA,5,"A B D E F",1,1,0,1,1,1,2,"C",0,0,1,0,0,0,2,"B D E",0,0,0,1,1,0,3,"E",0,0,0,0,1,0,"Construire une autre sité à Nasso.les plat du RU doivent être augmentés et ainsi le nombre de place.",NA,NA,"","","",434439171,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",20,"M","SVT",NA,"L",NA,2,"",NA,NA,NA,NA,NA,NA,3,"D E",0,0,1,1,1,0,4,"",NA,NA,NA,NA,NA,NA,2,"E",0,0,0,0,1,0,1,"B E",0,1,0,0,0,0,NA,3,"A D E",1,0,0,1,0,0,2,"A B C E",1,1,1,0,1,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,2,"D",0,0,0,1,0,0,3,"F",0,0,0,0,0,1,1,"C D F",0,0,1,1,1,1,5,"A B E",1,1,0,0,1,0,NA,2,"D E F",0,0,0,1,1,1,2,"C",0,0,1,0,0,0,2,"",NA,0,0,NA,NA,0,2,"E",0,0,0,0,1,0,"Les infrastruture immobiliers doivent être disponibles , améliorer plus le sportif avec plus de création des équipements sportifs",NA,NA,"","","",434449144,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
1,"D",9,"0",21,"M","SEA",NA,"L",NA,3,"C",0,0,1,0,0,0,3,"B A",1,1,1,0,0,0,3,"B",0,1,0,0,0,0,4,"E",0,0,0,0,1,0,4,"B",0,1,0,0,0,0,NA,3,"A F",1,0,0,0,0,1,3,"A C E",1,0,1,0,1,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"B C D",0,1,1,1,1,0,3,"B F",0,1,0,0,0,1,NA,2,"B D",0,1,0,1,0,0,2,"A D",1,0,0,1,0,0,3,"E",0,0,0,0,1,0,4,"A B C D",1,1,1,1,0,0,"",NA,NA,"","","",434460379,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",24,"F","SJPEG",NA,"L",NA,3,"C",0,0,1,0,0,0,3,"D E F",0,0,1,1,1,1,2,"B E F",0,1,0,0,1,1,3,"D F",0,0,0,1,0,1,2,"B D",0,1,0,0,0,0,NA,3,"A D E F",1,0,0,1,0,1,4,"B C",1,1,1,0,0,0,2,"A B",1,1,0,0,0,0,2,"D E F",0,0,0,1,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,3,"C D E F",0,0,0,1,1,1,4,"A B C D",1,1,1,1,0,0,3,"A B C D",0,1,1,1,1,0,3,"A B",1,1,0,0,0,0,NA,3,"A B",1,1,0,0,0,0,3,"A B",1,1,0,0,0,0,3,"F",0,0,0,0,0,0,2,"E",0,0,0,0,1,0,"Envoyer les table nécessaire et les projecteurs pour que tous les étudiants soient dans leurs bien être.",NA,NA,"","","",434460549,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",19,"M","ESI",NA,"L",NA,4,"A B",1,1,0,0,0,0,4,"B C D E F",0,1,1,1,1,1,4,"D E",0,0,0,1,1,0,4,"D E F",0,0,0,1,1,1,2,"",0,1,NA,0,0,NA,NA,2,"A D",1,0,0,1,0,0,2,"E",1,0,0,0,1,0,8,"",NA,NA,NA,NA,0,0,1,"A",0,0,0,0,0,0,4,"C",0,0,1,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,3,"A C",1,0,1,0,0,0,NA,4,"F",0,0,0,0,0,1,4,"A B C D",1,1,1,1,0,0,8,"",NA,0,0,NA,NA,0,4,"A B D",1,1,0,1,0,0,"Il faut une amélioration. Il y’a un manque de motivation des étudiants de la part de l’administration",NA,NA,"","","",434466414,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",19,"M","ESI",NA,"L",NA,4,"A B",1,1,0,0,0,0,4,"B C D E F",0,1,1,1,1,1,4,"D E",0,0,0,1,1,0,4,"D E F",0,0,0,1,1,1,2,"",0,1,NA,0,0,NA,NA,2,"A D",1,0,0,1,0,0,2,"E",1,0,0,0,1,0,8,"",NA,NA,NA,NA,0,0,1,"A",0,0,0,0,0,0,4,"C",0,0,1,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,2,"",0,NA,NA,NA,1,NA,3,"A C",1,0,1,0,0,0,NA,4,"F",0,0,0,0,0,1,4,"A B C D",1,1,1,1,0,0,8,"",NA,0,0,NA,NA,0,4,"A B D",1,1,0,1,0,0,"Il faut une amélioration. Il y’a un manque de motivation des étudiants de la part de l’administration",NA,NA,"","","",434466523,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
3,"B",7,"0",25,"M","SJPEG",NA,"L",NA,3,"A B C",1,1,1,0,0,0,3,"B D E F",0,1,1,1,1,1,4,"A B C",1,1,1,0,0,0,4,"D F",0,0,0,1,0,1,1,"B F",0,1,0,0,0,1,NA,4,"A B C",1,1,1,0,0,0,5,"A B C E F",1,1,1,0,1,1,8,"",NA,NA,NA,NA,0,0,5,"A",0,0,0,0,0,0,5,"A C",1,0,1,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,4,"A B C D E F",0,1,1,1,1,1,8,"",NA,NA,NA,NA,NA,NA,NA,3,"A B F",1,1,0,0,0,1,3,"",NA,NA,NA,NA,NA,NA,1,"E",0,0,0,0,1,0,3,"D",0,0,0,1,0,0,"Aménager le côté infrastructures",NA,NA,"","","",434468909,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","saga_junior","vsCWJfdBXZcmNYj3qFjRMJ",NA
1,"D",9,"0",19,"F","SEA",NA,"L",NA,3,"A B C",1,1,1,0,0,0,4,"C D",0,0,1,1,0,0,4,"",NA,NA,NA,NA,NA,NA,3,"B D E",0,1,0,1,1,0,3,"B",0,1,0,0,0,0,NA,4,"F",1,0,0,0,0,1,3,"B C E",1,1,1,0,1,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,NA,8,"",NA,NA,0,NA,NA,NA,4,"A B C",1,1,1,0,0,0,2,"B",0,1,0,0,1,0,3,"B",0,1,0,0,0,0,NA,2,"D F",0,0,0,1,0,1,4,"B C F",0,1,1,0,0,1,2,"",NA,0,0,NA,NA,0,4,"B C",0,1,1,0,0,0,"L'UNB doit s'assurer de la qualité de la nourriture au niveau de la restauration. 
Elle doit renforcer la sécurité au sein du site. ",NA,NA,"","","",434471115,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","boyyi43","vsCWJfdBXZcmNYj3qFjRMJ",NA
2,"A",21,"0",22,"M","SJPEG",NA,"L",NA,4,"B C",0,1,1,0,0,0,4,"C D E F",0,0,1,1,1,1,4,"B D",0,1,0,1,0,0,4,"E F",0,0,0,0,1,1,2,"B",0,1,0,0,0,0,NA,4,"B D",1,1,0,1,0,0,4,"A B",1,1,0,0,0,0,8,"",NA,NA,NA,NA,0,0,8,"",0,NA,NA,NA,NA,NA,4,"A",1,0,0,0,0,0,NA,8,"",NA,NA,0,NA,NA,NA,8,"",NA,NA,NA,NA,NA,NA,4,"A B E",0,1,0,0,1,0,4,"A C",1,0,1,0,0,0,NA,2,"A D",1,0,0,1,0,0,2,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,2,"B E",0,1,0,0,1,0,"",NA,NA,"","","",434472602,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","hafiz_sanou04","vsCWJfdBXZcmNYj3qFjRMJ",NA
1,"D",14,"0",22,"M","SVT",NA,"L",NA,3,"A B",1,1,0,0,0,0,2,"B F",0,1,1,0,0,1,2,"D E F",0,0,0,1,1,1,4,"A B F",1,1,0,0,0,1,2,"C F",0,1,1,0,0,1,NA,4,"A D E",1,0,0,1,0,0,3,"E",1,0,0,0,1,0,2,"A B C",1,1,1,0,0,0,2,"D E",0,0,0,1,1,0,8,"",NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,0,NA,NA,NA,2,"",NA,NA,NA,NA,NA,NA,3,"B E F",0,1,0,0,1,1,3,"A C F",1,0,1,0,0,1,NA,4,"B C",0,1,1,0,0,0,1,"",NA,NA,NA,NA,NA,NA,8,"",NA,0,0,NA,NA,0,2,"D E",0,0,0,1,1,0,"Revoir la connection et le service de transport",NA,NA,"","","",434474161,"476f2063-0f12-40d4-9b5d-0c1097de034e","2025-01-27 18:36:09","",NA,"submitted_via_web","coeur2lion","vsCWJfdBXZcmNYj3qFjRMJ",NA
